,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
90,455.007,50,0,291.1925,276.72391666666664,31.25,275.27660999999995,529.645,365.292,390.783,345.686
91,443.544,50,1,289.6258333333332,276.6378633333333,37.180555555555536,275.3664433333333,534.575,365.11,413.088,322.431
92,422.742,50,2,288.05916666666684,276.85849666666655,43.111111111111136,275.59406666666666,526.565,366.163,393.449,311.686
93,399.4,50,3,286.4925,277.1365833333333,49.041666666666664,275.83203,498.157,374.671,385.195,307.198
94,364.954,50,4,286.1830555555553,277.47836,51.105555555555554,276.0767733333334,443.399,414.726,372.652,312.714
95,315.47,50,5,285.87361111111136,277.78708,53.169444444444444,276.2543833333333,374.56,479.262,365.716,337.13699999999994
96,277.866,50,6,286.0425,281.24465000000004,55.48333333333334,273.9495333333333,331.821,529.645,365.292,390.783
97,247.73,50,7,285.6933333333333,281.0083599999999,56.18888888888889,274.0113999999999,310.064,534.575,365.11,413.088
98,236.322,50,8,285.34416666666664,280.8776366666667,56.894444444444446,274.2750733333334,300.738,526.565,366.163,393.449
99,230.329,50,9,284.99500000000006,280.56576666666666,57.599999999999994,274.4327666666666,296.443,498.157,374.671,385.195
100,224.177,50,10,284.78194444444443,280.14424999999994,61.69722222222222,274.5356866666667,302.868,443.399,414.726,372.652
101,231.697,50,11,284.5688888888889,279.58571333333333,65.79444444444445,274.63196000000005,328.559,374.56,479.262,365.716
102,251.526,50,12,284.35583333333335,279.0949166666666,69.89166666666667,274.7006433333334,382.642,331.821,529.645,365.292
103,289.841,50,13,284.9763888888889,278.76978,69.36944444444445,275.66895000000005,407.408,310.064,534.575,365.11
104,309.296,50,14,285.59694444444443,278.7892333333333,68.8472222222222,277.1410833333333,387.175,300.738,526.565,366.163
105,316.329,50,15,286.2175,279.6901200000001,68.325,278.4270833333333,378.86,296.443,498.157,374.671
106,324.789,50,16,287.99472222222215,280.95778333333345,56.95833333333334,279.20424999999994,367.093,302.868,443.399,414.726
107,320.6140000000001,50,17,289.7719444444445,281.71259666666674,45.59166666666666,279.34340333333347,363.578,328.559,374.56,479.262
108,325.927,50,18,291.5491666666666,282.0824366666667,34.225,279.2901533333333,363.359,382.642,331.821,529.645
109,322.43,50,19,292.0219444444443,282.07367666666664,30.802777777777788,278.8548133333333,359.69,407.408,310.064,534.575
110,315.082,50,20,292.49472222222226,281.55127,27.38055555555555,278.0004166666666,364.567,387.175,300.738,526.565
111,319.773,50,21,292.96750000000003,280.49062333333336,23.958333333333332,276.87978333333325,378.09,378.86,296.443,498.157
112,349.202,50,22,292.0725000000001,279.37145000000004,24.69444444444444,275.7415666666667,415.782,367.093,302.868,443.399
113,408.048,50,23,291.17749999999995,278.4326033333334,25.43055555555556,274.8460633333333,484.3730000000001,363.578,328.559,374.56
114,449.101,51,0,290.28249999999997,277.6559633333334,26.166666666666668,274.41907,541.703,363.359,382.642,331.821
115,437.832,51,1,289.4486111111112,276.9794299999999,26.811111111111117,274.04640000000006,550.9630000000002,359.69,407.408,310.064
116,421.708,51,2,288.61472222222216,276.36086333333327,27.45555555555555,273.8152033333334,545.901,364.567,387.175,300.738
117,395.151,51,3,287.7808333333333,275.7767600000001,28.099999999999994,273.71297333333337,519.571,378.09,378.86,296.443
118,346.824,51,4,287.09111111111105,275.4796999999999,29.886111111111106,273.68719000000004,461.385,415.782,367.093,302.868
119,300.083,51,5,286.401388888889,275.38342000000006,31.67222222222223,273.5209533333334,392.967,484.3730000000001,363.578,328.559
120,283.541,51,6,285.28749999999997,278.42221666666666,42.11666666666667,273.1060866666667,349.095,541.703,363.359,382.642
121,264.084,51,7,284.7855555555555,277.8891233333333,42.58888888888889,272.88396666666677,329.865,550.9630000000002,359.69,407.408
122,254.226,51,8,284.28361111111116,277.4182666666667,43.06111111111111,272.6312366666667,319.879,545.901,364.567,387.175
123,250.817,51,9,283.7816666666667,277.10465666666664,43.53333333333333,272.43808333333334,317.389,519.571,378.09,378.86
124,254.511,51,10,283.07666666666665,276.5149733333333,46.14722222222223,271.5466833333333,321.782,461.385,415.782,367.093
125,271.903,51,11,282.3716666666667,275.39361999999994,48.76111111111111,270.62485666666663,347.352,392.967,484.3730000000001,363.578
126,297.338,51,12,281.6666666666667,274.46509000000003,51.375,270.2748166666667,399.217,349.095,541.703,363.359
127,315.892,51,13,282.4472222222222,274.1553466666666,49.56666666666667,271.01468333333327,423.593,329.865,550.9630000000002,359.69
128,315.093,51,14,283.2277777777778,274.3952,47.758333333333326,271.12723,400.206,319.879,545.901,364.567
129,319.064,51,15,284.0083333333333,274.5142,45.95000000000001,271.05289666666664,387.344,317.389,519.571,378.09
130,313.269,51,16,286.08222222222236,274.9567433333334,39.40277777777779,270.7273833333333,369.891,321.782,461.385,415.782
131,309.627,51,17,288.156111111111,275.45377,32.85555555555555,270.23539666666665,358.38199999999995,347.352,392.967,484.3730000000001
132,308.708,51,18,290.23,275.53299999999996,26.308333333333334,269.86086333333327,352.24300000000005,399.217,349.095,541.703
133,306.4,51,19,291.01916666666665,275.50714999999997,23.15555555555555,269.6378566666667,345.325,423.593,329.865,550.9630000000002
134,311.874,51,20,291.80833333333334,275.43926999999996,20.002777777777784,269.7737866666667,346.315,400.206,319.879,545.901
135,325.718,51,21,292.59749999999997,274.88092,16.849999999999998,269.7246466666667,355.57199999999995,387.344,317.389,519.571
136,365.622,51,22,291.76944444444456,274.06614666666667,16.958333333333343,269.07578000000007,393.194,369.891,321.782,461.385
137,433.195,51,23,290.9413888888888,273.46691999999996,17.06666666666666,268.3359533333334,458.512,358.38199999999995,347.352,392.967
138,489.783,52,0,290.11333333333334,273.0066133333333,17.174999999999997,268.02203000000003,512.741,352.24300000000005,399.217,349.095
139,491.714,52,1,288.4119444444445,272.53485,18.480555555555558,267.8510333333333,514.2280000000002,345.325,423.593,329.865
140,483.992,52,2,286.71055555555546,272.11596999999995,19.78611111111111,267.74134666666674,505.565,346.315,400.206,319.879
141,458.464,52,3,285.00916666666666,271.6812833333333,21.091666666666665,267.68899999999996,484.444,355.57199999999995,387.344,317.389
142,409.386,52,4,284.3719444444445,271.2953433333334,21.047222222222214,267.6653266666668,440.075,393.194,369.891,321.782
143,347.58,52,5,283.73472222222216,270.95550999999995,21.002777777777784,267.6935333333334,382.054,458.512,358.38199999999995,347.352
144,313.8520000000001,52,6,283.5725,269.8381166666666,23.099999999999994,264.8015833333333,326.0,512.741,352.24300000000005,399.217
145,288.91,52,7,283.0466666666667,269.6936,23.866666666666674,265.31968666666677,298.774,514.2280000000002,345.325,423.593
146,281.99,52,8,282.52083333333337,269.61816,24.633333333333322,265.71558333333337,285.581,505.565,346.315,400.206
147,283.117,52,9,281.995,269.6612,25.400000000000002,265.92451666666665,277.784,484.444,355.57199999999995,387.344
148,289.623,52,10,281.67777777777775,269.49957,26.852777777777785,266.11535,280.684,440.075,393.194,369.891
149,318.361,52,11,281.36055555555555,269.35748000000007,28.305555555555546,266.32071666666667,287.643,382.054,458.512,358.38199999999995
