,load,day,hour,GFS_temp,NAM_temp,GFS_hum,NAM_dew,load_t_72,load_t_78,load_t_84,load_t_90
90,314.4240000000001,49,0,268.13333333333327,271.48783666666674,92.46666666666665,268.08255,326.465,201.452,273.732,208.929
91,297.959,49,1,267.6850000000001,271.32355,92.25277777777778,268.3504833333334,324.209,191.664,263.957,198.327
92,284.172,49,2,267.2366666666666,271.0421333333333,92.03888888888889,268.0809533333334,303.981,179.655,249.313,193.246
93,267.435,49,3,266.7883333333333,270.8318033333333,91.825,268.11753333333337,285.835,203.59,235.47,191.878
94,241.424,49,4,266.6355555555556,270.9380133333333,91.46666666666665,268.71718333333337,255.868,233.029,220.137,206.38
95,215.722,49,5,266.4827777777777,271.11549999999994,91.10833333333335,269.1182433333333,229.8,285.244,203.102,230.282
96,203.879,49,6,267.3541666666667,270.20216666666664,93.21666666666665,264.5651433333334,197.676,326.465,201.452,273.732
97,195.085,49,7,267.4158333333333,270.0936333333333,92.41111111111111,265.28730666666667,184.511,324.209,191.664,263.957
98,188.268,49,8,267.4775,270.0244333333333,91.60555555555555,265.46620333333334,183.067,303.981,179.655,249.313
99,190.24400000000003,49,9,267.5391666666667,269.94364666666667,90.8,265.5249466666666,185.23,285.835,203.59,235.47
100,190.061,49,10,268.00277777777785,269.7476666666667,90.54166666666667,265.57967333333335,196.366,255.868,233.029,220.137
101,192.829,49,11,268.46638888888884,269.6503066666666,90.28333333333332,265.73386666666664,219.621,229.8,285.244,203.102
102,205.081,49,12,268.93,269.6835300000001,90.02499999999999,266.01178666666664,253.404,197.676,326.465,201.452
103,226.346,49,13,270.58583333333326,270.77167000000003,91.0,268.12566999999996,252.377,184.511,324.209,191.664
104,239.081,49,14,272.24166666666673,272.70367,91.97500000000002,269.4482033333333,241.54,183.067,303.981,179.655
105,256.459,49,15,273.8975,274.5591633333333,92.95,270.90473333333324,218.675,185.23,285.835,203.59
106,227.845,49,16,274.48388888888894,276.16505,92.96111111111112,272.70148000000006,195.80900000000003,196.366,255.868,233.029
107,224.779,49,17,275.0702777777778,277.51041,92.97222222222221,273.88778333333335,210.051,219.621,229.8,285.244
108,226.984,49,18,275.6566666666667,278.41904666666665,92.98333333333335,274.23715,200.378,253.404,197.676,326.465
109,209.318,49,19,275.7127777777778,278.8997800000001,93.95,274.5495666666667,198.88,252.377,184.511,324.209
110,216.594,49,20,275.7688888888889,278.9083133333333,94.91666666666667,274.9119666666667,213.01,241.54,183.067,303.981
111,219.051,49,21,275.825,278.57434666666677,95.88333333333334,275.3402466666667,228.43,218.675,185.23,285.835
112,235.324,49,22,275.77833333333336,277.9524666666667,96.41666666666667,275.48453666666666,244.923,195.80900000000003,196.366,255.868
113,246.318,49,23,275.7316666666667,277.5635766666666,96.95000000000003,275.8075600000001,305.306,210.051,219.621,229.8
114,258.075,50,0,275.685,277.43224999999995,97.48333333333335,275.8599433333333,320.436,200.378,253.404,197.676
115,265.033,50,1,275.8811111111112,277.47119666666663,97.51111111111112,275.90810999999997,315.367,198.88,252.377,184.511
116,264.713,50,2,276.07722222222213,277.61891333333324,97.53888888888889,275.93781666666666,307.296,213.01,241.54,183.067
117,253.776,50,3,276.2733333333333,277.9803333333333,97.56666666666668,276.06119666666666,283.781,228.43,218.675,185.23
118,220.067,50,4,275.9549999999999,278.4366933333334,97.7027777777778,276.1809400000001,254.476,244.923,195.80900000000003,196.366
