runtime,validtime,prediction,target_load
2018-08-13 08:00:00,2018-08-13 08:00:00,303.832,245.74
2018-08-13 08:00:00,2018-08-13 09:00:00,292.868,240.388
2018-08-13 08:00:00,2018-08-13 10:00:00,292.155,252.357
2018-08-13 08:00:00,2018-08-13 11:00:00,303.47900000000004,266.999
2018-08-13 08:00:00,2018-08-13 12:00:00,313.89,277.964
2018-08-13 08:00:00,2018-08-13 13:00:00,323.67400000000004,276.622
2018-08-13 08:00:00,2018-08-13 14:00:00,326.536,271.403
2018-08-13 08:00:00,2018-08-13 15:00:00,332.395,283.275
2018-08-13 08:00:00,2018-08-13 16:00:00,356.81800000000004,292.824
2018-08-13 08:00:00,2018-08-13 17:00:00,388.142,305.503
2018-08-13 08:00:00,2018-08-13 18:00:00,410.029,307.70099999999996
2018-08-13 08:00:00,2018-08-13 19:00:00,431.35699999999997,313.14099999999996
2018-08-13 08:00:00,2018-08-13 20:00:00,458.089,325.866
2018-08-13 08:00:00,2018-08-13 21:00:00,486.205,345.19599999999997
2018-08-13 08:00:00,2018-08-13 22:00:00,510.18,377.45300000000003
2018-08-13 08:00:00,2018-08-13 23:00:00,525.67,410.092
2018-08-13 08:00:00,2018-08-14 00:00:00,516.923,424.017
2018-08-13 08:00:00,2018-08-14 01:00:00,523.496,432.37199999999996
2018-08-13 08:00:00,2018-08-14 02:00:00,510.52099999999996,420.381
2018-08-13 08:00:00,2018-08-14 03:00:00,471.67800000000005,389.142
2018-08-13 08:00:00,2018-08-14 04:00:00,419.287,339.903
2018-08-13 08:00:00,2018-08-14 05:00:00,346.148,300.6
2018-08-13 08:00:00,2018-08-14 06:00:00,312.33299999999997,270.091
2018-08-13 08:00:00,2018-08-14 07:00:00,292.45599999999996,258.089
2018-08-14 08:00:00,2018-08-14 08:00:00,272.189,247.081
2018-08-14 08:00:00,2018-08-14 09:00:00,263.334,242.209
2018-08-14 08:00:00,2018-08-14 10:00:00,257.35200000000003,255.49900000000002
2018-08-14 08:00:00,2018-08-14 11:00:00,261.02099999999996,273.0
2018-08-14 08:00:00,2018-08-14 12:00:00,282.202,285.815
2018-08-14 08:00:00,2018-08-14 13:00:00,306.64799999999997,285.003
2018-08-14 08:00:00,2018-08-14 14:00:00,321.253,284.286
2018-08-14 08:00:00,2018-08-14 15:00:00,336.731,306.694
2018-08-14 08:00:00,2018-08-14 16:00:00,348.42400000000004,330.594
2018-08-14 08:00:00,2018-08-14 17:00:00,348.42699999999996,358.05300000000005
2018-08-14 08:00:00,2018-08-14 18:00:00,342.92,360.147
2018-08-14 08:00:00,2018-08-14 19:00:00,349.952,370.449
2018-08-14 08:00:00,2018-08-14 20:00:00,340.82,389.709
2018-08-14 08:00:00,2018-08-14 21:00:00,341.48900000000003,419.509
2018-08-14 08:00:00,2018-08-14 22:00:00,345.69599999999997,466.10699999999997
2018-08-14 08:00:00,2018-08-14 23:00:00,358.47,499.68800000000005
2018-08-14 08:00:00,2018-08-15 00:00:00,366.56300000000005,505.186
2018-08-14 08:00:00,2018-08-15 01:00:00,368.026,516.624
2018-08-14 08:00:00,2018-08-15 02:00:00,371.702,500.379
2018-08-14 08:00:00,2018-08-15 03:00:00,343.48199999999997,456.293
2018-08-14 08:00:00,2018-08-15 04:00:00,314.728,393.837
2018-08-14 08:00:00,2018-08-15 05:00:00,307.344,341.147
2018-08-14 08:00:00,2018-08-15 06:00:00,259.573,310.67900000000003
2018-08-14 08:00:00,2018-08-15 07:00:00,241.79,290.165
2018-08-15 08:00:00,2018-08-15 08:00:00,225.32299999999998,275.203
2018-08-15 08:00:00,2018-08-15 09:00:00,218.699,268.77
2018-08-15 08:00:00,2018-08-15 10:00:00,219.234,274.099
2018-08-15 08:00:00,2018-08-15 11:00:00,226.89,289.41
2018-08-15 08:00:00,2018-08-15 12:00:00,238.90900000000002,298.921
2018-08-15 08:00:00,2018-08-15 13:00:00,261.019,305.246
2018-08-15 08:00:00,2018-08-15 14:00:00,277.265,299.309
2018-08-15 08:00:00,2018-08-15 15:00:00,295.108,300.311
2018-08-15 08:00:00,2018-08-15 16:00:00,312.3,322.905
2018-08-15 08:00:00,2018-08-15 17:00:00,332.592,355.656
2018-08-15 08:00:00,2018-08-15 18:00:00,344.015,381.314
2018-08-15 08:00:00,2018-08-15 19:00:00,358.095,411.45300000000003
2018-08-15 08:00:00,2018-08-15 20:00:00,360.38199999999995,443.082
2018-08-15 08:00:00,2018-08-15 21:00:00,363.227,483.159
2018-08-15 08:00:00,2018-08-15 22:00:00,382.68699999999995,526.661
2018-08-15 08:00:00,2018-08-15 23:00:00,391.466,561.465
2018-08-15 08:00:00,2018-08-16 00:00:00,397.005,562.455
2018-08-15 08:00:00,2018-08-16 01:00:00,408.45,576.922
2018-08-15 08:00:00,2018-08-16 02:00:00,392.616,566.44
2018-08-15 08:00:00,2018-08-16 03:00:00,362.57,516.589
2018-08-15 08:00:00,2018-08-16 04:00:00,318.705,445.926
2018-08-15 08:00:00,2018-08-16 05:00:00,301.04,382.108
2018-08-15 08:00:00,2018-08-16 06:00:00,268.803,352.494
2018-08-15 08:00:00,2018-08-16 07:00:00,256.52299999999997,325.209
2018-08-16 08:00:00,2018-08-16 08:00:00,245.74,305.244
2018-08-16 08:00:00,2018-08-16 09:00:00,240.388,293.061
2018-08-16 08:00:00,2018-08-16 10:00:00,252.357,292.659
2018-08-16 08:00:00,2018-08-16 11:00:00,266.999,306.232
2018-08-16 08:00:00,2018-08-16 12:00:00,277.964,314.986
2018-08-16 08:00:00,2018-08-16 13:00:00,276.622,322.88
2018-08-16 08:00:00,2018-08-16 14:00:00,271.403,330.13599999999997
2018-08-16 08:00:00,2018-08-16 15:00:00,283.275,351.38599999999997
2018-08-16 08:00:00,2018-08-16 16:00:00,292.824,379.409
2018-08-16 08:00:00,2018-08-16 17:00:00,305.503,412.92400000000004
2018-08-16 08:00:00,2018-08-16 18:00:00,307.70099999999996,435.108
2018-08-16 08:00:00,2018-08-16 19:00:00,313.14099999999996,464.221
2018-08-16 08:00:00,2018-08-16 20:00:00,325.866,493.776
2018-08-16 08:00:00,2018-08-16 21:00:00,345.19599999999997,526.651
2018-08-16 08:00:00,2018-08-16 22:00:00,377.45300000000003,566.585
2018-08-16 08:00:00,2018-08-16 23:00:00,410.092,589.768
2018-08-16 08:00:00,2018-08-17 00:00:00,424.017,581.39
2018-08-16 08:00:00,2018-08-17 01:00:00,432.37199999999996,583.133
2018-08-16 08:00:00,2018-08-17 02:00:00,420.381,563.374
2018-08-16 08:00:00,2018-08-17 03:00:00,389.142,511.084
2018-08-16 08:00:00,2018-08-17 04:00:00,339.903,445.491
2018-08-16 08:00:00,2018-08-17 05:00:00,300.6,385.608
2018-08-16 08:00:00,2018-08-17 06:00:00,270.091,351.215
2018-08-16 08:00:00,2018-08-17 07:00:00,258.089,320.94599999999997
2018-08-17 08:00:00,2018-08-17 08:00:00,247.081,297.746
2018-08-17 08:00:00,2018-08-17 09:00:00,242.209,284.019
2018-08-17 08:00:00,2018-08-17 10:00:00,255.49900000000002,280.496
2018-08-17 08:00:00,2018-08-17 11:00:00,273.0,290.413
2018-08-17 08:00:00,2018-08-17 12:00:00,285.815,294.232
2018-08-17 08:00:00,2018-08-17 13:00:00,285.003,300.224
2018-08-17 08:00:00,2018-08-17 14:00:00,284.286,303.568
2018-08-17 08:00:00,2018-08-17 15:00:00,306.694,317.686
2018-08-17 08:00:00,2018-08-17 16:00:00,330.594,342.865
2018-08-17 08:00:00,2018-08-17 17:00:00,358.05300000000005,372.532
2018-08-17 08:00:00,2018-08-17 18:00:00,360.147,390.105
2018-08-17 08:00:00,2018-08-17 19:00:00,370.449,424.39300000000003
2018-08-17 08:00:00,2018-08-17 20:00:00,389.709,445.23699999999997
2018-08-17 08:00:00,2018-08-17 21:00:00,419.509,461.63699999999994
2018-08-17 08:00:00,2018-08-17 22:00:00,466.10699999999997,490.536
2018-08-17 08:00:00,2018-08-17 23:00:00,499.68800000000005,500.798
2018-08-17 08:00:00,2018-08-18 00:00:00,505.186,500.829
2018-08-17 08:00:00,2018-08-18 01:00:00,516.624,514.165
2018-08-17 08:00:00,2018-08-18 02:00:00,500.379,508.099
2018-08-17 08:00:00,2018-08-18 03:00:00,456.293,474.69199999999995
2018-08-17 08:00:00,2018-08-18 04:00:00,393.837,427.36699999999996
2018-08-17 08:00:00,2018-08-18 05:00:00,341.147,382.355
2018-08-17 08:00:00,2018-08-18 06:00:00,310.67900000000003,314.98
2018-08-17 08:00:00,2018-08-18 07:00:00,290.165,294.952
2018-08-18 08:00:00,2018-08-18 08:00:00,275.203,279.728
